match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sun,6/20/21,13:00 (16:00),Thorns,3.3,1–0,0.8,Kansas City,,Providence Park,Adorae Monroy,Match Report,https://fbref.com/en/matches/8acfa339/Portland-Thorns-FC-Kansas-City-June-20-2021-NWSL,8acfa339
Regular Season,Sun,6/20/21,15:00,Louisville,2.4,1–0,2.7,Dash,"5,971",Lynn Family Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/74666aca/Racing-Louisville-Houston-Dash-June-20-2021-NWSL,74666aca
Regular Season,Sun,6/20/21,18:00,Pride,2.2,1–1,0.7,Gotham FC,,Exploria Stadium,Alex Billeter,Match Report,https://fbref.com/en/matches/b818bb1d/Orlando-Pride-Gotham-FC-June-20-2021-NWSL,b818bb1d
Regular Season,Sat,6/19/21,19:00 (20:00),Red Stars,1.7,1–1,1.1,Spirit,"3,296",SeatGeek Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/1011f557/Chicago-Red-Stars-Washington-Spirit-June-19-2021-NWSL,1011f557
Regular Season,Wed,6/23/21,13:00 (14:00),Kansas City,1.7,1–3,1.2,Pride,"4,197",Field of Legends,Samantha Martinez,Match Report,https://fbref.com/en/matches/5648dd0c/Kansas-City-Orlando-Pride-June-23-2021-NWSL,5648dd0c
Regular Season,Tue,6/22/21,19:00 (22:00),Reign,2.4,2–0,0.6,Red Stars,"2,518",Cheney Stadium,Danielle Chesky,Match Report,https://fbref.com/en/matches/671d9115/OL-Reign-Chicago-Red-Stars-June-22-2021-NWSL,671d9115
Regular Season,Wed,6/23/21,19:30,Louisville,0.4,0–2,2.2,Courage,"6,334",Lynn Family Stadium,Alyssa Nichols,Match Report,https://fbref.com/en/matches/0f623827/Racing-Louisville-North-Carolina-Courage-June-23-2021-NWSL,0f623827
Regular Season,Sat,6/26/21,13:00 (16:00),Reign,2,0–3,2.5,Gotham FC,"3,007",Cheney Stadium,Samantha Martinez,Match Report,https://fbref.com/en/matches/9f0e821c/OL-Reign-Gotham-FC-June-26-2021-NWSL,9f0e821c
Regular Season,Sat,6/26/21,15:25 (16:25),Red Stars,1.7,0–3,1.4,Louisville,"2,626",SeatGeek Stadium,Greg Dopka,Match Report,https://fbref.com/en/matches/5dceef91/Chicago-Red-Stars-Racing-Louisville-June-26-2021-NWSL,5dceef91
Regular Season,Sat,6/26/21,19:00,Courage,1.8,2–0,1.5,Thorns,,Sahlen's Stadium at WakeMed Soccer Park,Natalie Simon,Match Report,https://fbref.com/en/matches/f29a7ef1/North-Carolina-Courage-Portland-Thorns-FC-June-26-2021-NWSL,f29a7ef1
Regular Season,Sat,6/26/21,19:00 (20:00),Dash,1.5,2–1,0.8,Pride,,BBVA Stadium,Karen Callado,Match Report,https://fbref.com/en/matches/481dcee5/Houston-Dash-Orlando-Pride-June-26-2021-NWSL,481dcee5
Regular Season,Sat,6/26/21,19:30 (20:30),Kansas City,1.1,1–2,1.4,Spirit,"5,157",Field of Legends,Laura Rodriguez,Match Report,https://fbref.com/en/matches/2cd4ec75/Kansas-City-Washington-Spirit-June-26-2021-NWSL,2cd4ec75
Regular Season,Fri,7/2/21,19:00,Gotham FC,1.1,1–1,0.4,Kansas City,"2,307",Red Bull Arena,Natalie Simon,Match Report,https://fbref.com/en/matches/10f108c3/Gotham-FC-Kansas-City-July-2-2021-NWSL,10f108c3
Regular Season,Fri,7/2/21,19:30,Spirit,0.5,0–1,0.5,Red Stars,"3,201",Segra Field,John Griggs,Match Report,https://fbref.com/en/matches/40d971e5/Washington-Spirit-Chicago-Red-Stars-July-2-2021-NWSL,40d971e5
Regular Season,Sat,7/3/21,19:30,Louisville,0.4,0–2,2.2,Thorns,"6,822",Lynn Family Stadium,Karen Callado,Match Report,https://fbref.com/en/matches/3548ce5a/Racing-Louisville-Portland-Thorns-FC-July-3-2021-NWSL,3548ce5a
Regular Season,Fri,7/2/21,19:30 (20:30),Dash,2.3,2–0,0.9,Reign,"4,337",BBVA Stadium,Adorae Monroy,Match Report,https://fbref.com/en/matches/db88df87/Houston-Dash-OL-Reign-July-2-2021-NWSL,db88df87
Regular Season,Sun,7/4/21,18:00,Pride,1.4,0–2,2.4,Courage,"3,926",Exploria Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/4ce881eb/Orlando-Pride-North-Carolina-Courage-July-4-2021-NWSL,4ce881eb
Regular Season,Fri,7/9/21,19:00,Pride,1.1,1–1,0.5,Louisville,"3,606",Exploria Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/ab0a3b8e/Orlando-Pride-Racing-Louisville-July-9-2021-NWSL,ab0a3b8e
Regular Season,Sat,7/10/21,19:00,Spirit,2.7,2–0,1.6,Courage,"4,929",Audi Field,Matthew Franz,Match Report,https://fbref.com/en/matches/f8ee8767/Washington-Spirit-North-Carolina-Courage-July-10-2021-NWSL,f8ee8767
Regular Season,Sun,7/11/21,12:00 (15:00),Thorns,2.1,0–0,0.8,Gotham FC,"14,731",Providence Park,Tori Penso,Match Report,https://fbref.com/en/matches/9b3974b4/Portland-Thorns-FC-Gotham-FC-July-11-2021-NWSL,9b3974b4
Regular Season,Sun,7/11/21,16:00 (19:00),Reign,1.9,2–0,0.8,Kansas City,"3,124",Cheney Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/fa5f28b6/OL-Reign-Kansas-City-July-11-2021-NWSL,fa5f28b6
Regular Season,Sun,7/11/21,17:00 (18:00),Red Stars,0.3,2–1,0.2,Dash,"2,520",SeatGeek Stadium,Samantha Martinez,Match Report,https://fbref.com/en/matches/08a226bf/Chicago-Red-Stars-Houston-Dash-July-11-2021-NWSL,08a226bf
Regular Season,Sat,7/17/21,19:00,Courage,1.7,1–2,0.8,Dash,"5,229",Sahlen's Stadium at WakeMed Soccer Park,Alex Billeter,Match Report,https://fbref.com/en/matches/753a54ab/North-Carolina-Courage-Houston-Dash-July-17-2021-NWSL,753a54ab
Regular Season,Sun,7/18/21,17:00,Spirit,1.7,2–3,3.4,Gotham FC,,Segra Field,Karen Callado,Match Report,https://fbref.com/en/matches/151a8c6c/Washington-Spirit-Gotham-FC-July-18-2021-NWSL,151a8c6c
Regular Season,Sun,7/18/21,17:00 (18:00),Red Stars,0.4,3–1,1.2,Reign,"3,301",SeatGeek Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/138422ad/Chicago-Red-Stars-OL-Reign-July-18-2021-NWSL,138422ad
Regular Season,Sun,7/18/21,19:30 (22:30),Thorns,2.4,2–1,0.3,Pride,"14,985",Providence Park,Laura Rodriguez,Match Report,https://fbref.com/en/matches/986e95dc/Portland-Thorns-FC-Orlando-Pride-July-18-2021-NWSL,986e95dc
Regular Season,Fri,7/23/21,19:00 (20:00),Kansas City,1,0–0,0.7,Courage,"5,239",Field of Legends,Katja Koroleva,Match Report,https://fbref.com/en/matches/2a4f95fc/Kansas-City-North-Carolina-Courage-July-23-2021-NWSL,2a4f95fc
Regular Season,Sat,7/24/21,19:00,Pride,0.8,0–2,2.1,Reign,"4,180",Exploria Stadium,John Matto,Match Report,https://fbref.com/en/matches/c3692424/Orlando-Pride-OL-Reign-July-24-2021-NWSL,c3692424
Regular Season,Sun,7/25/21,17:00,Gotham FC,1.4,2–1,1.2,Red Stars,,Red Bull Arena,Alyssa Nichols,Match Report,https://fbref.com/en/matches/c17893bb/Gotham-FC-Chicago-Red-Stars-July-25-2021-NWSL,c17893bb
Regular Season,Sun,7/25/21,19:30,Louisville,1.5,0–2,1.7,Spirit,"6,422",Lynn Family Stadium,Samantha Martinez,Match Report,https://fbref.com/en/matches/b2fdb217/Racing-Louisville-Washington-Spirit-July-25-2021-NWSL,b2fdb217
Regular Season,Sat,7/24/21,19:30 (20:30),Dash,0.7,0–1,1.2,Thorns,"1,929",BBVA Stadium,Luis Guardia,Match Report,https://fbref.com/en/matches/29064988/Houston-Dash-Portland-Thorns-FC-July-24-2021-NWSL,29064988
Regular Season,Sat,7/31/21,19:00,Courage,1.2,1–1,1,Pride,"5,523",Sahlen's Stadium at WakeMed Soccer Park,Karen Callado,Match Report,https://fbref.com/en/matches/9a7e9c60/North-Carolina-Courage-Orlando-Pride-July-31-2021-NWSL,9a7e9c60
Regular Season,Sun,8/1/21,12:00 (15:00),Thorns,1.6,2–0,1.5,Kansas City,"16,246",Providence Park,Samantha Martinez,Match Report,https://fbref.com/en/matches/57127901/Portland-Thorns-FC-Kansas-City-August-1-2021-NWSL,57127901
Regular Season,Sun,8/1/21,17:00 (18:00),Red Stars,2.6,3–1,1.7,Spirit,"2,534",SeatGeek Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/f832fee9/Chicago-Red-Stars-Washington-Spirit-August-1-2021-NWSL,f832fee9
Regular Season,Sun,8/1/21,18:00 (19:00),Dash,2,1–1,1.6,Gotham FC,"3,517",BBVA Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/4d241e61/Houston-Dash-Gotham-FC-August-1-2021-NWSL,4d241e61
Regular Season,Sat,7/31/21,19:00 (22:00),Reign,1.4,2–0,1.4,Louisville,"3,097",Cheney Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/80ff5d48/OL-Reign-Racing-Louisville-July-31-2021-NWSL,80ff5d48
Regular Season,Sat,8/7/21,19:00,Gotham FC,0.7,0–1,1.3,Courage,"2,179",Red Bull Arena,Tori Penso,Match Report,https://fbref.com/en/matches/e45b356c/Gotham-FC-North-Carolina-Courage-August-7-2021-NWSL,e45b356c
Regular Season,Sat,8/7/21,19:30,Spirit,0.8,0–1,1.5,Thorns,"2,899",Segra Field,Katja Koroleva,Match Report,https://fbref.com/en/matches/5c64fc50/Washington-Spirit-Portland-Thorns-FC-August-7-2021-NWSL,5c64fc50
Regular Season,Sun,8/8/21,15:00,Louisville,2.5,3–1,1.9,Kansas City,"5,843",Lynn Family Stadium,Danielle Chesky,Match Report,https://fbref.com/en/matches/b4cacaf2/Racing-Louisville-Kansas-City-August-8-2021-NWSL,b4cacaf2
Regular Season,Sun,8/8/21,17:00 (18:00),Red Stars,1.5,0–2,1.2,Pride,"3,298",SeatGeek Stadium,Luis Guardia,Match Report,https://fbref.com/en/matches/2b4a0943/Chicago-Red-Stars-Orlando-Pride-August-8-2021-NWSL,2b4a0943
Regular Season,Sat,8/7/21,19:00 (22:00),Reign,2.6,5–1,0.6,Dash,"2,922",Cheney Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/a81c893d/OL-Reign-Houston-Dash-August-7-2021-NWSL,a81c893d
Regular Season,Sat,8/14/21,19:00,Pride,1.4,1–1,0.8,Thorns,"4,209",Exploria Stadium,Matthew Franz,Match Report,https://fbref.com/en/matches/d11a6afc/Orlando-Pride-Portland-Thorns-FC-August-14-2021-NWSL,d11a6afc
Regular Season,Fri,8/13/21,19:30 (20:30),Dash,2.1,2–2,1,Spirit,"3,167",BBVA Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/fe50bdd7/Houston-Dash-Washington-Spirit-August-13-2021-NWSL,fe50bdd7
Regular Season,Sun,8/15/21,17:00,Gotham FC,0.5,1–1,2.2,Louisville,"2,200",Red Bull Arena,Brad Jensen,Match Report,https://fbref.com/en/matches/800bc864/Gotham-FC-Racing-Louisville-August-15-2021-NWSL,800bc864
Regular Season,Sun,8/15/21,18:00,Courage,2.2,1–0,1,Red Stars,"5,002",Sahlen's Stadium at WakeMed Soccer Park,Elijio Arreguin,Match Report,https://fbref.com/en/matches/2a7aad78/North-Carolina-Courage-Chicago-Red-Stars-August-15-2021-NWSL,2a7aad78
Regular Season,Sat,8/14/21,19:00 (20:00),Kansas City,1,1–0,0.8,Reign,"5,368",Field of Legends,Alex Billeter,Match Report,https://fbref.com/en/matches/242d98cb/Kansas-City-OL-Reign-August-14-2021-NWSL,242d98cb
Regular Season,Wed,8/18/21,19:30,Louisville,0.8,1–1,2.3,Red Stars,"7,310",Lynn Family Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/4ebf1b38/Racing-Louisville-Chicago-Red-Stars-August-18-2021-NWSL,4ebf1b38
Regular Season,Sat,8/21/21,19:00,Courage,1.2,4–0,1.7,Kansas City,"4,943",Sahlen's Stadium at WakeMed Soccer Park,Kevin Broadley,Match Report,https://fbref.com/en/matches/b8c01225/North-Carolina-Courage-Kansas-City-August-21-2021-NWSL,b8c01225
Regular Season,Sun,8/22/21,16:00,Spirit,1.9,2–1,1,Pride,"6,002",Audi Field,Tori Penso,Match Report,https://fbref.com/en/matches/8dca4022/Washington-Spirit-Orlando-Pride-August-22-2021-NWSL,8dca4022
Regular Season,Sat,8/21/21,19:00 (22:00),Reign,3.4,3–2,1.3,Gotham FC,"3,657",Cheney Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/81e7d577/OL-Reign-Gotham-FC-August-21-2021-NWSL,81e7d577
Regular Season,Wed,8/25/21,19:00 (20:00),Kansas City,1.5,2–1,0.9,Louisville,"3,997",Field of Legends,Michael Radchuk,Match Report,https://fbref.com/en/matches/be46a00f/Kansas-City-Racing-Louisville-August-25-2021-NWSL,be46a00f
Regular Season,Wed,8/25/21,19:30 (22:30),Thorns,2.8,2–1,0.6,Gotham FC,"14,299",Providence Park,Mark Allatin,Match Report,https://fbref.com/en/matches/714ba654/Portland-Thorns-FC-Gotham-FC-August-25-2021-NWSL,714ba654
Regular Season,Sun,8/29/21,16:00 (19:00),Reign,1.9,2–1,1.2,Thorns,"27,278",Cheney Stadium,Jon Freemon,Match Report,https://fbref.com/en/matches/aff251d2/OL-Reign-Portland-Thorns-FC-August-29-2021-NWSL,aff251d2
Regular Season,Sun,8/29/21,17:00,Spirit,1.3,0–0,1.2,Courage,"4,554",Audi Field,Greg Dopka,Match Report,https://fbref.com/en/matches/3ea31ead/Washington-Spirit-North-Carolina-Courage-August-29-2021-NWSL,3ea31ead
Regular Season,Sun,8/29/21,17:30,Gotham FC,1.3,0–1,0.3,Pride,"7,035",Red Bull Arena,Kevin Broadley,Match Report,https://fbref.com/en/matches/16e23f3c/Gotham-FC-Orlando-Pride-August-29-2021-NWSL,16e23f3c
Regular Season,Sun,8/29/21,18:30 (19:30),Dash,1.3,1–0,1.4,Louisville,"3,292",BBVA Stadium,Alex Billeter,Match Report,https://fbref.com/en/matches/8d282de4/Houston-Dash-Racing-Louisville-August-29-2021-NWSL,8d282de4
Regular Season,Sat,8/28/21,19:00 (20:00),Red Stars,3.2,3–0,0.6,Kansas City,"3,536",SeatGeek Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/2f020390/Chicago-Red-Stars-Kansas-City-August-28-2021-NWSL,2f020390
Regular Season,Wed,9/1/21,19:00 (20:00),Dash,0.8,0–1,1.8,Reign,,BBVA Stadium,Danielle Chesky,Match Report,https://fbref.com/en/matches/8eb3b0dd/Houston-Dash-OL-Reign-September-1-2021-NWSL,8eb3b0dd
Regular Season,Sat,9/4/21,19:00,Gotham FC,1.1,0–0,2.2,Red Stars,"3,252",Red Bull Arena,Matthew Franz,Match Report,https://fbref.com/en/matches/0bfe8e38/Gotham-FC-Chicago-Red-Stars-September-4-2021-NWSL,0bfe8e38
Regular Season,Sat,9/4/21,19:30,Louisville,0.8,1–1,2.1,Reign,,Lynn Family Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/7fc53fb8/Racing-Louisville-OL-Reign-September-4-2021-NWSL,7fc53fb8
Regular Season,Sun,9/5/21,16:00,Pride,0.4,1–1,1.1,Dash,,Exploria Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/fea90630/Orlando-Pride-Houston-Dash-September-5-2021-NWSL,fea90630
Regular Season,Sun,9/5/21,18:00 (19:00),Kansas City,1.4,0–0,1.2,Courage,"4,583",Field of Legends,Natalie Simon,Match Report,https://fbref.com/en/matches/d6191f62/Kansas-City-North-Carolina-Courage-September-5-2021-NWSL,d6191f62
Regular Season,Sat,9/4/21,19:30 (22:30),Thorns,,3–0,,Spirit,,Providence Park,Ismir Pekmic,Match Report,https://fbref.com/en/matches/770ec49c/Portland-Thorns-FC-Washington-Spirit-September-4-2021-NWSL,770ec49c
Regular Season,Sat,9/11/21,19:00,Pride,1.6,3–1,0.9,Louisville,"3,822",Exploria Stadium,Elton Garcia,Match Report,https://fbref.com/en/matches/165448bc/Orlando-Pride-Racing-Louisville-September-11-2021-NWSL,165448bc
Regular Season,Fri,9/10/21,19:30 (20:30),Dash,1,1–1,2,Red Stars,"3,155",BBVA Stadium,Elvis Osmanovic,Match Report,https://fbref.com/en/matches/509b89aa/Houston-Dash-Chicago-Red-Stars-September-10-2021-NWSL,509b89aa
Regular Season,Sun,9/12/21,15:00,Courage,1.1,0–1,1.5,Thorns,"5,161",Sahlen's Stadium at WakeMed Soccer Park,Matthew Franz,Match Report,https://fbref.com/en/matches/37d40689/North-Carolina-Courage-Portland-Thorns-FC-September-12-2021-NWSL,37d40689
Regular Season,Sun,9/12/21,17:00,Spirit,,0–3,,Reign,,Audi Field,,Match Report,https://fbref.com/en/matches/0bbd1959/Washington-Spirit-OL-Reign-September-12-2021-NWSL,0bbd1959
Regular Season,Sat,9/25/21,15:00,Gotham FC,2.4,3–1,0.4,Courage,"2,887",Red Bull Arena,Mark Allatin,Match Report,https://fbref.com/en/matches/84de42bc/Gotham-FC-North-Carolina-Courage-September-25-2021-NWSL,84de42bc
Regular Season,Sun,9/26/21,15:00,Louisville,0.2,0–4,1.8,Dash,"6,374",Lynn Family Stadium,Matthew Thompson,Match Report,https://fbref.com/en/matches/94bcf409/Racing-Louisville-Houston-Dash-September-26-2021-NWSL,94bcf409
Regular Season,Sun,9/26/21,16:00 (19:00),Reign,3.1,3–0,0.6,Pride,"5,044",Cheney Stadium,Malik Badawi,Match Report,https://fbref.com/en/matches/331b8375/OL-Reign-Orlando-Pride-September-26-2021-NWSL,331b8375
Regular Season,Sun,9/26/21,17:00,Spirit,1.2,2–1,0.8,Kansas City,"3,295",Segra Field,Karen Abt,Match Report,https://fbref.com/en/matches/b2c4fa2c/Washington-Spirit-Kansas-City-September-26-2021-NWSL,b2c4fa2c
Regular Season,Sat,9/25/21,19:00 (20:00),Red Stars,1.5,2–1,0.7,Thorns,"3,527",SeatGeek Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/d887c826/Chicago-Red-Stars-Portland-Thorns-FC-September-25-2021-NWSL,d887c826
Regular Season,Wed,10/6/21,19:00,Gotham FC,1.1,0–0,0.6,Spirit,"9,532",Red Bull Arena,Ismir Pekmic,Match Report,https://fbref.com/en/matches/343ae440/Gotham-FC-Washington-Spirit-October-6-2021-NWSL,343ae440
Regular Season,Wed,10/6/21,19:30,Courage,3.4,3–1,0.6,Louisville,"3,523",Sahlen's Stadium at WakeMed Soccer Park,Alyssa Nichols,Match Report,https://fbref.com/en/matches/a6d4d95a/North-Carolina-Courage-Racing-Louisville-October-6-2021-NWSL,a6d4d95a
Regular Season,Wed,10/6/21,19:00 (22:00),Thorns,2.1,2–3,2.8,Dash,"11,139",Providence Park,Natalie Simon,Match Report,https://fbref.com/en/matches/b599c7e0/Portland-Thorns-FC-Houston-Dash-October-6-2021-NWSL,b599c7e0
Regular Season,Sat,10/9/21,19:00,Pride,2.1,2–3,2.2,Gotham FC,,Exploria Stadium,Brad Jensen,Match Report,https://fbref.com/en/matches/6b5d492c/Orlando-Pride-Gotham-FC-October-9-2021-NWSL,6b5d492c
Regular Season,Sat,10/9/21,19:30,Spirit,3.6,3–0,0.6,Louisville,,Audi Field,Laura Rodriguez,Match Report,https://fbref.com/en/matches/5d320b9e/Washington-Spirit-Racing-Louisville-October-9-2021-NWSL,5d320b9e
Regular Season,Sun,10/10/21,16:00 (19:00),Reign,1.8,3–2,1.7,Red Stars,"3,588",Cheney Stadium,Samantha Martinez,Match Report,https://fbref.com/en/matches/74f63303/OL-Reign-Chicago-Red-Stars-October-10-2021-NWSL,74f63303
Regular Season,Sun,10/10/21,16:00 (17:00),Kansas City,0.4,0–0,1.6,Thorns,"5,438",Field of Legends,Alyssa Nichols,Match Report,https://fbref.com/en/matches/e8cf14bf/Kansas-City-Portland-Thorns-FC-October-10-2021-NWSL,e8cf14bf
Regular Season,Sun,10/10/21,18:00 (19:00),Dash,3,4–1,1.3,Courage,"4,155",BBVA Stadium,Elton Garcia,Match Report,https://fbref.com/en/matches/3f95b1ba/Houston-Dash-North-Carolina-Courage-October-10-2021-NWSL,3f95b1ba
Regular Season,Wed,10/13/21,19:30,Courage,1.7,1–2,0.9,Spirit,,Sahlen's Stadium at WakeMed Soccer Park,Sergii Demianchuk,Match Report,https://fbref.com/en/matches/fc2a3172/North-Carolina-Courage-Washington-Spirit-October-13-2021-NWSL,fc2a3172
Regular Season,Wed,10/13/21,19:00 (20:00),Kansas City,2.2,3–0,0.3,Dash,"3,449",Field of Legends,Karen Callado,Match Report,https://fbref.com/en/matches/5f985550/Kansas-City-Houston-Dash-October-13-2021-NWSL,5f985550
Regular Season,Wed,10/13/21,19:00 (20:00),Red Stars,1.8,1–0,1.4,Pride,"3,198",SeatGeek Stadium,Elijio Arreguin,Match Report,https://fbref.com/en/matches/dc4570b2/Chicago-Red-Stars-Orlando-Pride-October-13-2021-NWSL,dc4570b2
Regular Season,Wed,10/13/21,19:30 (22:30),Thorns,1.3,1–1,1.7,Reign,"11,754",Providence Park,Tori Penso,Match Report,https://fbref.com/en/matches/b7041740/Portland-Thorns-FC-OL-Reign-October-13-2021-NWSL,b7041740
