player_id,player_url,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minusPK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,Matches
beff85c7,https://fbref.com/en/players/beff85c7/Christie-Pearce,Christie Pearce,us USA,DF,Sky Blue FC,38,1975,19,18,"1,665",18.5,1,2,3,1,0,0,0,0,0.05,0.11,0.16,0.05,0.16,Matches
b6dd6c87,https://fbref.com/en/players/b6dd6c87/Veronica-Perez,Verónica Pérez,mx MEX,"DF,MF",Spirit,25,1988,16,6,657,7.3,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
398d3102,https://fbref.com/en/players/398d3102/Nikki-Phillips,Nikki Phillips,pl POL,"DF,MF",Kansas City,26,1987,23,23,"1,970",21.9,1,0,1,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches
fe95f6e7,https://fbref.com/en/players/fe95f6e7/Christen-Press,Christen Press,us USA,FW,Red Stars,25,1988,12,12,"1,080",12,6,0,6,5,1,2,0,0,0.5,0,0.5,0.42,0.42,Matches
3d2972d6,https://fbref.com/en/players/3d2972d6/Toni-Pressley,Toni Pressley,us USA,DF,Spirit,23,1990,9,8,701,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
f451750d,https://fbref.com/en/players/f451750d/Rachel-Quon,Rachel Quon,ca CAN,DF,Red Stars,22,1991,19,19,"1,693",18.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
d1a10776,https://fbref.com/en/players/d1a10776/Rafaelle,Rafaelle,br BRA,"DF,FW",Dash,22,1991,16,6,507,5.6,0,1,1,0,0,0,1,0,0,0.18,0.18,0,0.18,Matches
8b7ddf10,https://fbref.com/en/players/8b7ddf10/Megan-Rapinoe,Megan Rapinoe,us USA,"FW,MF",Reign,28,1985,9,6,567,6.3,4,2,6,4,0,0,3,0,0.63,0.32,0.95,0.63,0.95,Matches
512a8c89,https://fbref.com/en/players/512a8c89/Niki-Read,Niki Read,us USA,FW,Red Stars,22,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74f170fe,https://fbref.com/en/players/74f170fe/Elli-Reed,Elli Reed,us USA,"DF,MF",Reign,24,1989,22,19,"1,813",20.1,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
67a94f40,https://fbref.com/en/players/67a94f40/Jazmine-Reeves,Jazmine Reeves,us USA,FW,Boston Breakers,22,1992,17,13,"1,151",12.8,7,1,8,7,0,0,1,0,0.55,0.08,0.63,0.55,0.63,Matches
d6a5b17b,https://fbref.com/en/players/d6a5b17b/Katherine-Reynolds,Katherine Reynolds,us USA,DF,WNY Flash,26,1987,19,19,"1,628",18.1,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
0c294f61,https://fbref.com/en/players/0c294f61/Domi-Richardson,Domi Richardson,us USA,"DF,MF",Dash,21,1992,2,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
ff932dbd,https://fbref.com/en/players/ff932dbd/Jenna-Richmond,Jenna Richmond,us USA,MF,Kansas City,22,1991,22,20,"1,754",19.5,1,4,5,1,0,0,2,0,0.05,0.21,0.26,0.05,0.26,Matches
3bc75a1a,https://fbref.com/en/players/3bc75a1a/Amy-Rodriguez,Amy Rodriguez,us USA,"FW,MF",Kansas City,26,1987,22,21,"1,808",20.1,13,3,16,13,0,0,0,0,0.65,0.15,0.8,0.65,0.8,Matches
7d576830,https://fbref.com/en/players/7d576830/Arianna-Romero,Arianna Romero,mx MEX,DF,Dash,21,1992,21,19,"1,765",19.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
