player_id,player_url,Player,Nation,Pos,Squad,Born,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minusPK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,Matches
69ab5b93,https://fbref.com/en/players/69ab5b93/Robyn-Gayle,Robyn Gayle,ca CAN,DF,Spirit,1985,14,14,"1,185",13.2,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
a428e3df,https://fbref.com/en/players/a428e3df/Missy-Geha,Missy Geha,us USA,MF,Kansas City,1987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
473ec793,https://fbref.com/en/players/473ec793/CoCo-Goodson,CoCo Goodson,us USA,DF,Sky Blue FC,1990,22,22,"2,070",23,1,1,2,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,Matches
e29a9795,https://fbref.com/en/players/e29a9795/Inka-Grings,Inka Grings,de GER,FW,Red Stars,1978,16,14,"1,295",14.4,3,1,4,3,0,2,2,0,0.21,0.07,0.28,0.21,0.28,Matches
0106bdaa,https://fbref.com/en/players/0106bdaa/Ashley-Grove,Ashley Grove,us USA,MF,WNY Flash,1990,2,0,,0,0,,,0,0,0,0,0,,,,,,Matches
7b0fc2bd,https://fbref.com/en/players/7b0fc2bd/Elizabeth-Guess,Elizabeth Guess,us USA,"FW,MF",Boston Breakers,1985,1,0,15,0.2,0,1,1,0,0,0,0,0,0,6,6,0,6,Matches
7b0fc2bd,https://fbref.com/en/players/7b0fc2bd/Elizabeth-Guess,Elizabeth Guess,us USA,"FW,MF",Thorns,1985,4,1,67,0.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
4c7ad183,https://fbref.com/en/players/4c7ad183/Ashlyn-Harris,Ashlyn Harris,us USA,GK,Spirit,1985,18,18,"1,620",18,,,,,0,0,,,,,,,,Matches
59ef6268,https://fbref.com/en/players/59ef6268/Tobin-Heath,Tobin Heath,us USA,"FW,MF",Thorns,1988,7,7,630,7,0,3,3,0,0,0,4,0,0,0.43,0.43,0,0.43,Matches
fa6c11a1,https://fbref.com/en/players/fa6c11a1/Taryn-Hemmings,Taryn Hemmings,us USA,"DF,FW",Red Stars,1986,14,14,"1,245",13.8,0,1,1,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
bf412415,https://fbref.com/en/players/bf412415/Melissa-Henderson,Melissa Henderson,us USA,"FW,MF",Kansas City,1989,17,13,"1,030",11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
533aa7b5,https://fbref.com/en/players/533aa7b5/Bianca-Henninger,Bianca Henninger,mx MEX,GK,Kansas City,1990,2,2,180,2,,,,,0,0,,,,,,,,Matches
b71dfab4,https://fbref.com/en/players/b71dfab4/Laura-Heyboer,Laura Heyboer,us USA,"FW,MF",WNY Flash,1989,6,3,,0,1,,,1,0,0,0,0,,,,,,Matches
4488eeda,https://fbref.com/en/players/4488eeda/Domenica-Hodak,Domenica Hodak,us USA,DF,Spirit,1991,11,6,629,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
987fd7be,https://fbref.com/en/players/987fd7be/Lauren-Holiday,Lauren Holiday,us USA,"FW,MF",Kansas City,1987,18,18,"1,620",18,12,9,21,11,1,1,0,0,0.67,0.5,1.17,0.61,1.11,Matches
3bd34fb6,https://fbref.com/en/players/3bd34fb6/Kate-Howarth,Kate Howarth,us USA,FW,Boston Breakers,1991,4,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
fe48520d,https://fbref.com/en/players/fe48520d/Jen-Hoy,Jen Hoy,us USA,"FW,MF",Red Stars,1991,9,4,471,5.2,3,1,4,3,0,0,1,0,0.57,0.19,0.76,0.57,0.76,Matches
5a38348e,https://fbref.com/en/players/5a38348e/Sarah-Huffman,Sarah Huffman,us USA,MF,WNY Flash,1984,14,11,,0,1,,,1,0,0,1,0,,,,,,Matches
3b1156ac,https://fbref.com/en/players/3b1156ac/Tori-Huster,Tori Huster,us USA,"DF,MF",Spirit,1989,21,21,"1,880",20.9,1,0,1,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches
6c6d7d3b,https://fbref.com/en/players/6c6d7d3b/Estelle-Johnson,Estelle Johnson,cm CMR,DF,WNY Flash,1988,22,22,,0,0,,,0,0,0,0,0,,,,,,Matches
f212101a,https://fbref.com/en/players/f212101a/Kendall-Johnson,Kendall Johnson,us USA,"DF,MF",Sky Blue FC,1991,22,22,"2,032",22.6,0,2,2,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
2513a812,https://fbref.com/en/players/2513a812/Chantel-Jones,Chantel Jones,us USA,GK,Spirit,1988,4,4,350,3.9,,,,,0,0,,,,,,,,Matches
ace24053,https://fbref.com/en/players/ace24053/Courtney-Jones,Courtney Jones,us USA,"DF,FW",Kansas City,1990,22,6,670,7.4,4,1,5,4,0,0,0,0,0.54,0.13,0.67,0.54,0.67,Matches
1bf98715,https://fbref.com/en/players/1bf98715/Katie-Kelly,Katie Kelly,us USA,DF,Kansas City,1987,7,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67fd041f,https://fbref.com/en/players/67fd041f/Angie-Kerr,Angie Kerr,us USA,"FW,MF",Thorns,1985,15,9,762,8.5,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
6a435e8d,https://fbref.com/en/players/6a435e8d/Sam-Kerr,Sam Kerr,au AUS,"FW,MF",WNY Flash,1993,19,17,"1,440",16,6,,,6,0,0,1,0,0.37,,,0.37,,Matches
c8ffafcd,https://fbref.com/en/players/c8ffafcd/Holly-King,Holly King,us USA,MF,Spirit,1991,11,6,636,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
e13e096b,https://fbref.com/en/players/e13e096b/Julie-King,Julie King,us USA,DF,Boston Breakers,1989,21,21,"1,862",20.7,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
8f93035b,https://fbref.com/en/players/8f93035b/Brittany-Kolmel,Brittany Kolmel,us USA,DF,WNY Flash,1987,21,21,3,0,4,,,4,0,0,2,0,120,,,120,,Matches
85a11d14,https://fbref.com/en/players/85a11d14/Haley-Kopmeyer,Haley Kopmeyer,us USA,GK,Reign,1990,1,1,90,1,,,,,0,0,,,,,,,,Matches
21922d46,https://fbref.com/en/players/21922d46/Ali-Krieger,Ali Krieger,us USA,"DF,MF",Spirit,1984,18,16,"1,413",15.7,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
7d0d9b4e,https://fbref.com/en/players/7d0d9b4e/Kaylyn-Kyle,Kaylyn Kyle,ca CAN,MF,Reign,1988,21,19,"1,754",19.5,3,0,3,0,3,3,4,0,0.15,0,0.15,0,0,Matches
c17c8ec8,https://fbref.com/en/players/c17c8ec8/Kristina-Larsen,Kristina Larsen,us USA,FW,Reign,1988,9,4,346,3.8,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches
d3ce5b67,https://fbref.com/en/players/d3ce5b67/Karina-LeBlanc,Karina LeBlanc,ca CAN,GK,Thorns,1980,21,21,"1,890",21,,,,,0,0,,,,,,,,Matches
15c7bfb7,https://fbref.com/en/players/15c7bfb7/Adriana-Leon,Adriana Leon,ca CAN,"FW,MF",Boston Breakers,1992,6,1,163,1.8,1,0,1,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
15c7bfb7,https://fbref.com/en/players/15c7bfb7/Adriana-Leon,Adriana Leon,ca CAN,"FW,MF",Red Stars,1992,10,9,800,8.9,1,1,2,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,Matches
7d7d1c00,https://fbref.com/en/players/7d7d1c00/Sydney-Leroux,Sydney Leroux,us USA,"FW,MF",Boston Breakers,1990,19,19,"1,694",18.8,11,2,13,11,0,0,1,0,0.58,0.11,0.69,0.58,0.69,Matches
db144d9c,https://fbref.com/en/players/db144d9c/Cris-Lewis,Cris Lewis,us USA,GK,Thorns,1988,1,1,90,1,,,,,0,0,,,,,,,,Matches
48950247,https://fbref.com/en/players/48950247/Lori-Lindsey,Lori Lindsey,us USA,MF,Spirit,1980,21,21,"1,870",20.8,1,2,3,1,0,0,0,0,0.05,0.1,0.14,0.05,0.14,Matches
f9589b2d,https://fbref.com/en/players/f9589b2d/Carli-Lloyd,Carli Lloyd,us USA,"FW,MF",WNY Flash,1982,15,14,8,0.1,0,,,0,0,0,4,0,0,,,0,,Matches
399b0fa4,https://fbref.com/en/players/399b0fa4/Joanna-Lohman,Joanna Lohman,us USA,"DF,MF",Boston Breakers,1982,22,21,"1,897",21.1,2,0,2,2,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
63d04257,https://fbref.com/en/players/63d04257/Michelle-Lomnicki,Michelle Lomnicki,us USA,DF,Red Stars,1987,18,17,"1,478",16.4,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches
ab2811ad,https://fbref.com/en/players/ab2811ad/Allie-Long,Allie Long,us USA,"FW,MF",Thorns,1987,22,22,"1,956",21.7,3,3,6,3,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches
c39d1981,https://fbref.com/en/players/c39d1981/Casey-Loyd,Casey Loyd,us USA,"FW,MF",Kansas City,1989,4,3,275,3.1,1,1,2,0,1,1,0,0,0.33,0.33,0.65,0,0.33,Matches
c9144e68,https://fbref.com/en/players/c9144e68/Jillian-Loyden,Jillian Loyden,us USA,GK,Sky Blue FC,1985,4,4,360,4,,,,,0,0,,,,,,,,Matches
2811e7f3,https://fbref.com/en/players/2811e7f3/Taylor-Lytle,Taylor Lytle,us USA,MF,Sky Blue FC,1989,21,12,"1,366",15.2,4,0,4,4,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
c14be709,https://fbref.com/en/players/c14be709/Manya-Makoski,Manya Makoski,us USA,MF,Sky Blue FC,1984,20,19,"1,803",20,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
