player_id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minusPK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,Matches
,Inka Grings,de GER,FW,Red Stars,34,1978,16,14,"1,295",14.4,3,1,4,3,0,2,2,0,0.21,0.07,0.28,0.21,0.28,Matches
,Ashley Grove,us USA,MF,WNY Flash,22,1990,2,0,,0,0,,,0,0,0,0,0,,,,,,Matches
,Elizabeth Guess,us USA,"FW,MF",Boston Breakers,28,1985,1,0,15,0.2,0,1,1,0,0,0,0,0,0,6,6,0,6,Matches
,Elizabeth Guess,us USA,"FW,MF",Thorns,28,1985,4,1,67,0.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
,Ashlyn Harris,us USA,GK,Spirit,27,1985,18,18,"1,620",18,,,,,0,0,,,,,,,,Matches
,Tobin Heath,us USA,"FW,MF",Thorns,24,1988,7,7,630,7,0,3,3,0,0,0,4,0,0,0.43,0.43,0,0.43,Matches
,Taryn Hemmings,us USA,"DF,FW",Red Stars,26,1986,14,14,"1,245",13.8,0,1,1,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
,Melissa Henderson,us USA,"FW,MF",Kansas City,23,1989,17,13,"1,030",11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Bianca Henninger,mx MEX,GK,Kansas City,22,1990,2,2,180,2,,,,,0,0,,,,,,,,Matches
,Laura Heyboer,us USA,"FW,MF",WNY Flash,23,1989,6,3,,0,1,,,1,0,0,0,0,,,,,,Matches
,Domenica Hodak,us USA,DF,Spirit,21,1991,11,6,629,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Lauren Holiday,us USA,"FW,MF",Kansas City,25,1987,18,18,"1,620",18,12,9,21,11,1,1,0,0,0.67,0.5,1.17,0.61,1.11,Matches
,Kate Howarth,us USA,FW,Boston Breakers,21,1991,4,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Jen Hoy,us USA,"FW,MF",Red Stars,22,1991,9,4,471,5.2,3,1,4,3,0,0,1,0,0.57,0.19,0.76,0.57,0.76,Matches
,Sarah Huffman,us USA,MF,WNY Flash,28,1984,14,11,,0,1,,,1,0,0,1,0,,,,,,Matches
,Tori Huster,us USA,"DF,MF",Spirit,23,1989,21,21,"1,880",20.9,1,0,1,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches
,Estelle Johnson,cm CMR,DF,WNY Flash,24,1988,22,22,,0,0,,,0,0,0,0,0,,,,,,Matches
,Kendall Johnson,us USA,"DF,MF",Sky Blue FC,21,1991,22,22,"2,032",22.6,0,2,2,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
,Chantel Jones,us USA,GK,Spirit,24,1988,4,4,350,3.9,,,,,0,0,,,,,,,,Matches
,Courtney Jones,us USA,"DF,FW",Kansas City,22,1990,22,6,670,7.4,4,1,5,4,0,0,0,0,0.54,0.13,0.67,0.54,0.67,Matches
,Katie Kelly,us USA,DF,Kansas City,25,1987,7,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Angie Kerr,us USA,"FW,MF",Thorns,27,1985,15,9,762,8.5,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
,Sam Kerr,au AUS,"FW,MF",WNY Flash,19,1993,19,17,"1,440",16,6,,,6,0,0,1,0,0.37,,,0.37,,Matches
,Holly King,us USA,MF,Spirit,21,1991,11,6,636,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Julie King,us USA,DF,Boston Breakers,23,1989,21,21,"1,862",20.7,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
,Brittany Kolmel,us USA,DF,WNY Flash,25,1987,21,21,3,0,4,,,4,0,0,2,0,120,,,120,,Matches
,Haley Kopmeyer,us USA,GK,Reign,22,1990,1,1,90,1,,,,,0,0,,,,,,,,Matches
,Ali Krieger,us USA,"DF,MF",Spirit,28,1984,18,16,"1,413",15.7,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
,Kaylyn Kyle,ca CAN,MF,Reign,24,1988,21,19,"1,754",19.5,3,0,3,0,3,3,4,0,0.15,0,0.15,0,0,Matches
,Kristina Larsen,us USA,FW,Reign,24,1988,9,4,346,3.8,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches
,Karina LeBlanc,ca CAN,GK,Thorns,32,1980,21,21,"1,890",21,,,,,0,0,,,,,,,,Matches
,Adriana Leon,ca CAN,"FW,MF",Boston Breakers,20,1992,6,1,163,1.8,1,0,1,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
,Adriana Leon,ca CAN,"FW,MF",Red Stars,20,1992,10,9,800,8.9,1,1,2,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,Matches
,Sydney Leroux,us USA,"FW,MF",Boston Breakers,22,1990,19,19,"1,694",18.8,11,2,13,11,0,0,1,0,0.58,0.11,0.69,0.58,0.69,Matches
,Cris Lewis,us USA,GK,Thorns,24,1988,1,1,90,1,,,,,0,0,,,,,,,,Matches
,Lori Lindsey,us USA,MF,Spirit,32,1980,21,21,"1,870",20.8,1,2,3,1,0,0,0,0,0.05,0.1,0.14,0.05,0.14,Matches
,Carli Lloyd,us USA,"FW,MF",WNY Flash,30,1982,15,14,8,0.1,0,,,0,0,0,4,0,0,,,0,,Matches
,Joanna Lohman,us USA,"DF,MF",Boston Breakers,30,1982,22,21,"1,897",21.1,2,0,2,2,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
