match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Wed,9/25/19,19:00 (22:00),Reign,1.6,2–1,1.5,Royals,"5,015",Cheney Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/3653dfaf/Reign-FC-Utah-Royals-FC-September-25-2019-NWSL,3653dfaf
Regular Season,Wed,9/25/19,20:00 (21:00),Dash,0.6,0–0,1.4,Spirit,"5,247",BBVA Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/f33364ee/Houston-Dash-Washington-Spirit-September-25-2019-NWSL,f33364ee
Regular Season,Sat,9/28/19,19:00,Spirit,0.3,2–1,2.9,Courage,"5,200",Maureen Hendricks Field Maryland SoccerP...,Ismir Pekmic,Match Report,https://fbref.com/en/matches/4a9bc623/Washington-Spirit-North-Carolina-Courage-September-28-2019-NWSL,4a9bc623
Regular Season,Sun,9/29/19,11:00,Sky Blue FC,1.4,1–1,1.7,Pride,"8,314",Red Bull Arena,Karen Callado,Match Report,https://fbref.com/en/matches/d7245076/Sky-Blue-FC-Orlando-Pride-September-29-2019-NWSL,d7245076
Regular Season,Sun,9/29/19,11:00 (14:00),Reign,1.9,2–0,1,Thorns,"7,370",Cheney Stadium,Matthew Franz,Match Report,https://fbref.com/en/matches/731bfd8e/Reign-FC-Portland-Thorns-FC-September-29-2019-NWSL,731bfd8e
Regular Season,Sat,9/28/19,19:00 (20:00),Red Stars,1.5,2–1,1.3,Royals,"4,839",SeatGeek Stadium,Elvis Osmanovic,Match Report,https://fbref.com/en/matches/f2a8492d/Chicago-Red-Stars-Utah-Royals-FC-September-28-2019-NWSL,f2a8492d
Regular Season,Sat,10/5/19,17:00,Pride,0.4,0–3,1,Spirit,"6,054",Exploria Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/a6299d40/Orlando-Pride-Washington-Spirit-October-5-2019-NWSL,a6299d40
Regular Season,Sat,10/12/19,19:00,Courage,2.1,3–2,0.9,Sky Blue FC,"9,195",Sahlen's Stadium at WakeMed Soccer Park,Jasmine Peralta,Match Report,https://fbref.com/en/matches/b3dca21a/North-Carolina-Courage-Sky-Blue-FC-October-12-2019-NWSL,b3dca21a
Regular Season,Sat,10/12/19,19:30,Pride,2.2,2–2,1.9,Reign,"8,103",Exploria Stadium,Kevin Broadley,Match Report,https://fbref.com/en/matches/840ceaac/Orlando-Pride-Reign-FC-October-12-2019-NWSL,840ceaac
Regular Season,Sat,10/12/19,19:00 (21:00),Royals,2.6,2–1,0.7,Dash,"9,513",Rio Tinto Stadium,Guido Gonzalez Jr.,Match Report,https://fbref.com/en/matches/3ccbf5a1/Utah-Royals-FC-Houston-Dash-October-12-2019-NWSL,3ccbf5a1
Regular Season,Sat,10/12/19,19:30 (22:30),Thorns,3,0–0,0.2,Spirit,"24,521",Providence Park,Farhad Dadkho,Match Report,https://fbref.com/en/matches/9e58d38e/Portland-Thorns-FC-Washington-Spirit-October-12-2019-NWSL,9e58d38e
Semifinals,Sun,10/20/19,13:30,Courage,5.5,4–1,0.3,Reign,"7,422",Sahlen's Stadium at WakeMed Soccer Park,Tori Penso,Match Report,https://fbref.com/en/matches/6b7e06cd/North-Carolina-Courage-Reign-FC-October-20-2019-NWSL,6b7e06cd
Semifinals,Sun,10/20/19,14:30 (15:30),Red Stars,1.4,1–0,0.5,Thorns,"9,218",SeatGeek Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/51f18293/Chicago-Red-Stars-Portland-Thorns-FC-October-20-2019-NWSL,51f18293
Final,Sun,10/27/19,15:30,Courage,2.8,4–0,1.3,Red Stars,"10,227",Sahlen's Stadium at WakeMed Soccer Park,Rosendo Mendoza,Match Report,https://fbref.com/en/matches/9f7344bb/North-Carolina-Courage-Chicago-Red-Stars-October-27-2019-NWSL,9f7344bb
