match type,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,4/26/14,19:00 (20:00),Red Stars,0–1,Spirit,1822,,Mark Allatin,Match Report,https://fbref.com/en/matches/9e8abda1/Chicago-Red-Stars-Washington-Spirit-April-26-2014-NWSL,9e8abda1
Regular Season,Sat,4/26/14,19:00 (22:00),Thorns,3–1,Kansas City,14124,Providence Park,Katja Koroleva,Match Report,https://fbref.com/en/matches/db3aa3b0/Portland-Thorns-FC-FC-Kansas-City-April-26-2014-NWSL,db3aa3b0
Regular Season,Sun,4/27/14,19:00 (22:00),Reign,2–0,Dash,2290,,Dimitar Chavdarov,Match Report,https://fbref.com/en/matches/e3a360d3/Seattle-Reign-FC-Houston-Dash-April-27-2014-NWSL,e3a360d3
Regular Season,Wed,4/30/14,0.791666667,Sky Blue FC,0–2,Reign,775,,Matt Franz,Match Report,https://fbref.com/en/matches/188f52c0/Sky-Blue-FC-Seattle-Reign-FC-April-30-2014-NWSL,188f52c0
Regular Season,Wed,4/30/14,19:00 (20:00),Kansas City,1–0,Red Stars,1679,,Josh Wilkens,Match Report,https://fbref.com/en/matches/35003fd2/FC-Kansas-City-Chicago-Red-Stars-April-30-2014-NWSL,35003fd2
Regular Season,Sat,5/3/14,0.791666667,WNY Flash,1–1,Thorns,3674,,Matt Franz,Match Report,https://fbref.com/en/matches/74564b15/Western-New-York-Flash-Portland-Thorns-FC-May-3-2014-NWSL,74564b15
Regular Season,Sat,5/3/14,0.791666667,Sky Blue FC,1–0,Boston Breakers,1294,,Mark Allatin,Match Report,https://fbref.com/en/matches/807c06e4/Sky-Blue-FC-Boston-Breakers-May-3-2014-NWSL,807c06e4
Regular Season,Sat,5/3/14,0.791666667,Spirit,1–2,Reign,4667,Maureen Hendricks Field at Maryland Socc...,Elvis Mahmutovic,Match Report,https://fbref.com/en/matches/1186ea77/Washington-Spirit-Seattle-Reign-FC-May-3-2014-NWSL,1186ea77
Regular Season,Sat,5/3/14,19:00 (20:00),Dash,0–4,Kansas City,5198,BBVA Compass Stadium,Juliana Duncan,Match Report,https://fbref.com/en/matches/f6ec53f0/Houston-Dash-FC-Kansas-City-May-3-2014-NWSL,f6ec53f0
Regular Season,Wed,5/7/14,0.791666667,Sky Blue FC,1–1,Red Stars,604,,Dimitar Chavdarov,Match Report,https://fbref.com/en/matches/2d5af9d6/Sky-Blue-FC-Chicago-Red-Stars-May-7-2014-NWSL,2d5af9d6
Regular Season,Wed,5/7/14,0.791666667,WNY Flash,2–1,Kansas City,2463,,Mark Allatin,Match Report,https://fbref.com/en/matches/edfa82d4/Western-New-York-Flash-FC-Kansas-City-May-7-2014-NWSL,edfa82d4
Regular Season,Sat,5/10/14,19:00 (22:00),Thorns,0–1,Reign,14128,Providence Park,Boris Senic,Match Report,https://fbref.com/en/matches/2ac75a24/Portland-Thorns-FC-Seattle-Reign-FC-May-10-2014-NWSL,2ac75a24
Regular Season,Sun,5/11/14,0.791666667,WNY Flash,2–0,Sky Blue FC,3107,,Elvis Mahmutovic,Match Report,https://fbref.com/en/matches/7f0a506f/Western-New-York-Flash-Sky-Blue-FC-May-11-2014-NWSL,7f0a506f
Regular Season,Sun,5/11/14,19:00 (20:00),Kansas City,2–1,Spirit,1797,,Matthew Mercier,Match Report,https://fbref.com/en/matches/9a0ab07f/FC-Kansas-City-Washington-Spirit-May-11-2014-NWSL,9a0ab07f
Regular Season,Sun,5/11/14,19:00 (20:00),Red Stars,1–0,Dash,1039,,Miguel Panduro,Match Report,https://fbref.com/en/matches/f0b59875/Chicago-Red-Stars-Houston-Dash-May-11-2014-NWSL,f0b59875
Regular Season,Wed,5/14/14,19:00 (22:00),Reign,3–2,Kansas City,2875,,Timon Berry,Match Report,https://fbref.com/en/matches/70f1e21b/Seattle-Reign-FC-FC-Kansas-City-May-14-2014-NWSL,70f1e21b
Regular Season,Thu,5/15/14,0.791666667,Boston Breakers,1–3,Red Stars,1696,,Mark Allatin,Match Report,https://fbref.com/en/matches/62cdbc09/Boston-Breakers-Chicago-Red-Stars-May-15-2014-NWSL,62cdbc09
Regular Season,Wed,5/14/14,19:00 (20:00),Dash,0–1,Thorns,3931,BBVA Compass Stadium,Josh Wilkens,Match Report,https://fbref.com/en/matches/f2a8f16b/Houston-Dash-Portland-Thorns-FC-May-14-2014-NWSL,f2a8f16b
Regular Season,Sat,5/17/14,0.791666667,Spirit,3–2,WNY Flash,4598,Maureen Hendricks Field at Maryland Socc...,Katja Koroleva,Match Report,https://fbref.com/en/matches/63378f00/Washington-Spirit-Western-New-York-Flash-May-17-2014-NWSL,63378f00
Regular Season,Sun,5/18/14,0.791666667,Boston Breakers,1–4,Red Stars,2123,,Kristen Salazar,Match Report,https://fbref.com/en/matches/38402333/Boston-Breakers-Chicago-Red-Stars-May-18-2014-NWSL,38402333
Regular Season,Sun,5/18/14,19:00 (20:00),Kansas City,2–2,Dash,1483,,Elvis Mahmutovic,Match Report,https://fbref.com/en/matches/b118c20b/FC-Kansas-City-Houston-Dash-May-18-2014-NWSL,b118c20b
Regular Season,Wed,5/21/14,0.791666667,Spirit,3–3,Sky Blue FC,2545,Maureen Hendricks Field at Maryland Socc...,Boris Senic,Match Report,https://fbref.com/en/matches/eed6455b/Washington-Spirit-Sky-Blue-FC-May-21-2014-NWSL,eed6455b
Regular Season,Wed,5/21/14,19:00 (20:00),Kansas City,1–1,Reign,2011,,Dimitar Chavdarov,Match Report,https://fbref.com/en/matches/83cdf3e1/FC-Kansas-City-Seattle-Reign-FC-May-21-2014-NWSL,83cdf3e1
Regular Season,Wed,5/21/14,19:00 (22:00),Thorns,2–1,WNY Flash,10920,Providence Park,Mark Allatin,Match Report,https://fbref.com/en/matches/ac3f3db5/Portland-Thorns-FC-Western-New-York-Flash-May-21-2014-NWSL,ac3f3db5
Regular Season,Fri,5/23/14,19:00 (20:00),Dash,1–3,Red Stars,4868,BBVA Compass Stadium,Timon Berry,Match Report,https://fbref.com/en/matches/17061441/Houston-Dash-Chicago-Red-Stars-May-23-2014-NWSL,17061441
Regular Season,Sun,5/25/14,0.791666667,Boston Breakers,0–2,Kansas City,2622,,Katja Koroleva,Match Report,https://fbref.com/en/matches/c6df790b/Boston-Breakers-FC-Kansas-City-May-25-2014-NWSL,c6df790b
Regular Season,Sat,5/24/14,19:00 (22:00),Thorns,0–1,Sky Blue FC,13427,Providence Park,Bernhard Hosu,Match Report,https://fbref.com/en/matches/25049986/Portland-Thorns-FC-Sky-Blue-FC-May-24-2014-NWSL,25049986
Regular Season,Mon,5/26/14,0.791666667,Spirit,3–2,Dash,2865,Maureen Hendricks Field at Maryland Socc...,Matt Franz,Match Report,https://fbref.com/en/matches/19c171d0/Washington-Spirit-Houston-Dash-May-26-2014-NWSL,19c171d0
Regular Season,Sun,5/25/14,19:00 (22:00),Reign,2–2,WNY Flash,4018,,Josh Wilkens,Match Report,https://fbref.com/en/matches/9f613a73/Seattle-Reign-FC-Western-New-York-Flash-May-25-2014-NWSL,9f613a73
Regular Season,Wed,5/28/14,0.791666667,Sky Blue FC,0–2,Red Stars,786,,Matthew Mercier,Match Report,https://fbref.com/en/matches/a68c37d0/Sky-Blue-FC-Chicago-Red-Stars-May-28-2014-NWSL,a68c37d0
Regular Season,Wed,5/28/14,0.791666667,Boston Breakers,4–1,Thorns,1556,,Boris Senic,Match Report,https://fbref.com/en/matches/a23cf271/Boston-Breakers-Portland-Thorns-FC-May-28-2014-NWSL,a23cf271
Regular Season,Sat,5/31/14,0.791666667,WNY Flash,1–2,Dash,3555,,Kristen Salazar,Match Report,https://fbref.com/en/matches/f31a9d7d/Western-New-York-Flash-Houston-Dash-May-31-2014-NWSL,f31a9d7d
Regular Season,Sun,6/1/14,0.791666667,Boston Breakers,2–3,Spirit,2876,,Juliana Duncan,Match Report,https://fbref.com/en/matches/fbe77a1f/Boston-Breakers-Washington-Spirit-June-1-2014-NWSL,fbe77a1f
Regular Season,Sun,6/1/14,0.791666667,Sky Blue FC,1–3,Reign,2876,,Christina Unkel,Match Report,https://fbref.com/en/matches/22486374/Sky-Blue-FC-Seattle-Reign-FC-June-1-2014-NWSL,22486374
Regular Season,Wed,6/4/14,19:00 (20:00),Red Stars,0–1,Spirit,1450,,Josh Wilkens,Match Report,https://fbref.com/en/matches/43103b88/Chicago-Red-Stars-Washington-Spirit-June-4-2014-NWSL,43103b88
Regular Season,Wed,6/4/14,19:00 (20:00),Kansas City,1–0,WNY Flash,2674,,Christopher Spivey,Match Report,https://fbref.com/en/matches/7014113e/FC-Kansas-City-Western-New-York-Flash-June-4-2014-NWSL,7014113e
Regular Season,Sat,6/7/14,19:00 (20:00),Kansas City,2–0,Boston Breakers,1457,,Greg Dopka,Match Report,https://fbref.com/en/matches/890a4ab4/FC-Kansas-City-Boston-Breakers-June-7-2014-NWSL,890a4ab4
Regular Season,Sat,6/7/14,19:00 (22:00),Reign,3–1,Red Stars,4222,,Dimitar Chavdarov,Match Report,https://fbref.com/en/matches/dbca8ac5/Seattle-Reign-FC-Chicago-Red-Stars-June-7-2014-NWSL,dbca8ac5
Regular Season,Sat,6/7/14,19:00 (22:00),Thorns,0–5,WNY Flash,13838,Providence Park,Juliana Duncan,Match Report,https://fbref.com/en/matches/5ba2eba7/Portland-Thorns-FC-Western-New-York-Flash-June-7-2014-NWSL,5ba2eba7
Regular Season,Sun,6/8/14,0.791666667,Sky Blue FC,0–3,Dash,1457,,Michael Zapata,Match Report,https://fbref.com/en/matches/b9ab40c2/Sky-Blue-FC-Houston-Dash-June-8-2014-NWSL,b9ab40c2
Regular Season,Wed,6/11/14,0.791666667,Boston Breakers,2–0,Spirit,1429,,Timon Berry,Match Report,https://fbref.com/en/matches/059fa801/Boston-Breakers-Washington-Spirit-June-11-2014-NWSL,059fa801
Regular Season,Wed,6/11/14,19:00 (20:00),Dash,2–1,WNY Flash,4483,BBVA Compass Stadium,Matthew Mercier,Match Report,https://fbref.com/en/matches/0bfa24ae/Houston-Dash-Western-New-York-Flash-June-11-2014-NWSL,0bfa24ae
Regular Season,Sat,6/14/14,19:00 (20:00),Dash,1–2,Kansas City,3852,BBVA Compass Stadium,Bernhard Hosu,Match Report,https://fbref.com/en/matches/c0417d1e/Houston-Dash-FC-Kansas-City-June-14-2014-NWSL,c0417d1e
Regular Season,Sun,6/15/14,19:00 (20:00),Red Stars,2–2,Sky Blue FC,1211,,Juliana Duncan,Match Report,https://fbref.com/en/matches/2a83a3f6/Chicago-Red-Stars-Sky-Blue-FC-June-15-2014-NWSL,2a83a3f6
Regular Season,Sun,6/15/14,19:00 (22:00),Thorns,2–0,Spirit,10056,Providence Park,Michael Zapata,Match Report,https://fbref.com/en/matches/3ac4acb5/Portland-Thorns-FC-Washington-Spirit-June-15-2014-NWSL,3ac4acb5
Regular Season,Wed,6/18/14,0.791666667,WNY Flash,2–0,Red Stars,1786,,Mark Allatin,Match Report,https://fbref.com/en/matches/bce76cd8/Western-New-York-Flash-Chicago-Red-Stars-June-18-2014-NWSL,bce76cd8
Regular Season,Thu,6/19/14,0.791666667,Boston Breakers,0–2,Reign,2714,,David Mon,Match Report,https://fbref.com/en/matches/66ca439b/Boston-Breakers-Seattle-Reign-FC-June-19-2014-NWSL,66ca439b
Regular Season,Sat,6/21/14,0.791666667,Spirit,1–6,Thorns,3806,Maureen Hendricks Field at Maryland Socc...,Kristen Salazar,Match Report,https://fbref.com/en/matches/48d47dc9/Washington-Spirit-Portland-Thorns-FC-June-21-2014-NWSL,48d47dc9
Regular Season,Sat,6/21/14,19:00 (20:00),Kansas City,1–0,Red Stars,1493,,Christina Unkel,Match Report,https://fbref.com/en/matches/fa063275/FC-Kansas-City-Chicago-Red-Stars-June-21-2014-NWSL,fa063275
Regular Season,Sun,6/22/14,0.791666667,Sky Blue FC,1–1,Boston Breakers,1212,,Greg Dopka,Match Report,https://fbref.com/en/matches/9feb3b94/Sky-Blue-FC-Boston-Breakers-June-22-2014-NWSL,9feb3b94
Regular Season,Sun,6/22/14,0.791666667,WNY Flash,1–2,Reign,3444,,Boris Senic,Match Report,https://fbref.com/en/matches/a45da2df/Western-New-York-Flash-Seattle-Reign-FC-June-22-2014-NWSL,a45da2df
Regular Season,Wed,6/25/14,19:00 (22:00),Thorns,1–2,Sky Blue FC,10477,Providence Park,Bernhard Hosu,Match Report,https://fbref.com/en/matches/6195a47a/Portland-Thorns-FC-Sky-Blue-FC-June-25-2014-NWSL,6195a47a
Regular Season,Fri,6/27/14,0.791666667,WNY Flash,2–1,Boston Breakers,2837,,Christina Unkel,Match Report,https://fbref.com/en/matches/b6b656ae/Western-New-York-Flash-Boston-Breakers-June-27-2014-NWSL,b6b656ae
Regular Season,Sat,6/28/14,19:00 (22:00),Reign,0–0,Sky Blue FC,5770,,Christopher Spivey,Match Report,https://fbref.com/en/matches/19e8a4b9/Seattle-Reign-FC-Sky-Blue-FC-June-28-2014-NWSL,19e8a4b9
Regular Season,Sat,6/28/14,19:00 (20:00),Kansas City,1–0,Thorns,2421,,Josh Wilkens,Match Report,https://fbref.com/en/matches/77e8defe/FC-Kansas-City-Portland-Thorns-FC-June-28-2014-NWSL,77e8defe
Regular Season,Sat,6/28/14,19:00 (20:00),Dash,0–1,Spirit,4050,BBVA Compass Stadium,Margaret Domka,Match Report,https://fbref.com/en/matches/581cef24/Houston-Dash-Washington-Spirit-June-28-2014-NWSL,581cef24
Regular Season,Wed,7/2/14,0.791666667,Spirit,3–3,Boston Breakers,2673,Maureen Hendricks Field at Maryland Socc...,Dimitar Chavdarov,Match Report,https://fbref.com/en/matches/79fde10f/Washington-Spirit-Boston-Breakers-July-2-2014-NWSL,79fde10f
Regular Season,Wed,7/2/14,0.791666667,WNY Flash,1–2,Reign,3789,,Greg Dopka,Match Report,https://fbref.com/en/matches/a41a3eeb/Western-New-York-Flash-Seattle-Reign-FC-July-2-2014-NWSL,a41a3eeb
Regular Season,Fri,7/4/14,19:00 (22:00),Thorns,2–2,Red Stars,13084,Providence Park,Timon Berry,Match Report,https://fbref.com/en/matches/1a248e02/Portland-Thorns-FC-Chicago-Red-Stars-July-4-2014-NWSL,1a248e02
Regular Season,Sun,7/6/14,0.791666667,Sky Blue FC,0–5,Kansas City,1349,,Margaret Domka,Match Report,https://fbref.com/en/matches/69b3b00d/Sky-Blue-FC-FC-Kansas-City-July-6-2014-NWSL,69b3b00d
Regular Season,Sat,7/5/14,19:00 (20:00),Dash,1–4,WNY Flash,3693,BBVA Compass Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/47d5955b/Houston-Dash-Western-New-York-Flash-July-5-2014-NWSL,47d5955b
Regular Season,Sun,7/6/14,19:00 (22:00),Reign,3–2,Boston Breakers,3705,,Mark Allatin,Match Report,https://fbref.com/en/matches/e03ef57f/Seattle-Reign-FC-Boston-Breakers-July-6-2014-NWSL,e03ef57f
Regular Season,Wed,7/9/14,19:00 (20:00),Red Stars,1–1,Thorns,2101,,Boris Senic,Match Report,https://fbref.com/en/matches/14529941/Chicago-Red-Stars-Portland-Thorns-FC-July-9-2014-NWSL,14529941
Regular Season,Sat,7/12/14,0.791666667,WNY Flash,0–1,Spirit,3134,,Christopher Spivey,Match Report,https://fbref.com/en/matches/8e775a64/Western-New-York-Flash-Washington-Spirit-July-12-2014-NWSL,8e775a64
Regular Season,Fri,7/11/14,19:00 (20:00),Dash,2–1,Boston Breakers,4063,BBVA Compass Stadium,Bernhard Hosu,Match Report,https://fbref.com/en/matches/04480428/Houston-Dash-Boston-Breakers-July-11-2014-NWSL,04480428
Regular Season,Sat,7/12/14,19:00 (20:00),Red Stars,1–0,Reign,3032,,Margaret Domka,Match Report,https://fbref.com/en/matches/4d031196/Chicago-Red-Stars-Seattle-Reign-FC-July-12-2014-NWSL,4d031196
Regular Season,Sun,7/13/14,19:00 (22:00),Thorns,7–1,Kansas City,9672,Providence Park,Christina Unkel,Match Report,https://fbref.com/en/matches/dae49ac4/Portland-Thorns-FC-FC-Kansas-City-July-13-2014-NWSL,dae49ac4
Regular Season,Fri,7/18/14,0.791666667,WNY Flash,1–1,Kansas City,2916,,Elvis Mahmutovic,Match Report,https://fbref.com/en/matches/6863d0dc/Western-New-York-Flash-FC-Kansas-City-July-18-2014-NWSL,6863d0dc
Regular Season,Thu,7/17/14,19:00 (20:00),Red Stars,1–1,Thorns,2014,,Josh Wilkens,Match Report,https://fbref.com/en/matches/30540f3f/Chicago-Red-Stars-Portland-Thorns-FC-July-17-2014-NWSL,30540f3f
Regular Season,Thu,7/17/14,19:00 (20:00),Dash,1–1,Spirit,3561,BBVA Compass Stadium,Michael Zapata,Match Report,https://fbref.com/en/matches/c00ea6a4/Houston-Dash-Washington-Spirit-July-17-2014-NWSL,c00ea6a4
Regular Season,Sun,7/20/14,0.791666667,Sky Blue FC,4–2,Spirit,1740,,Bernhard Hosu,Match Report,https://fbref.com/en/matches/a459e5c0/Sky-Blue-FC-Washington-Spirit-July-20-2014-NWSL,a459e5c0
Regular Season,Sun,7/20/14,19:00 (22:00),Thorns,6–3,Boston Breakers,14383,Providence Park,Margaret Domka,Match Report,https://fbref.com/en/matches/c9c09e02/Portland-Thorns-FC-Boston-Breakers-July-20-2014-NWSL,c9c09e02
Regular Season,Sun,7/20/14,19:00 (22:00),Reign,1–1,Red Stars,3030,,David Mon,Match Report,https://fbref.com/en/matches/56a01c6b/Seattle-Reign-FC-Chicago-Red-Stars-July-20-2014-NWSL,56a01c6b
Regular Season,Wed,7/23/14,0.791666667,Spirit,1–1,Thorns,3854,Maureen Hendricks Field at Maryland Socc...,Katja Koroleva,Match Report,https://fbref.com/en/matches/5dd078d5/Washington-Spirit-Portland-Thorns-FC-July-23-2014-NWSL,5dd078d5
Regular Season,Fri,7/25/14,0.791666667,WNY Flash,2–4,Boston Breakers,3081,,Timon Berry,Match Report,https://fbref.com/en/matches/5dd549e4/Western-New-York-Flash-Boston-Breakers-July-25-2014-NWSL,5dd549e4
Regular Season,Sat,7/26/14,19:00 (20:00),Red Stars,0–0,Dash,1494,,Christina Unkel,Match Report,https://fbref.com/en/matches/70461c41/Chicago-Red-Stars-Houston-Dash-July-26-2014-NWSL,70461c41
Regular Season,Sun,7/27/14,19:00 (20:00),Kansas City,2–1,Sky Blue FC,1852,,David Mon,Match Report,https://fbref.com/en/matches/f6a0f221/FC-Kansas-City-Sky-Blue-FC-July-27-2014-NWSL,f6a0f221
Regular Season,Sun,7/27/14,19:00 (22:00),Reign,5–0,Thorns,5957,,Boris Senic,Match Report,https://fbref.com/en/matches/0a10a72f/Seattle-Reign-FC-Portland-Thorns-FC-July-27-2014-NWSL,0a10a72f
Regular Season,Wed,7/30/14,0.791666667,Spirit,2–1,Kansas City,2744,Maureen Hendricks Field at Maryland Socc...,Kristen Salazar,Match Report,https://fbref.com/en/matches/e9e2fcf9/Washington-Spirit-FC-Kansas-City-July-30-2014-NWSL,e9e2fcf9
Regular Season,Wed,7/30/14,19:00 (20:00),Dash,1–4,Reign,4862,BBVA Compass Stadium,Timon Berry,Match Report,https://fbref.com/en/matches/92a0b833/Houston-Dash-Seattle-Reign-FC-July-30-2014-NWSL,92a0b833
Regular Season,Thu,7/31/14,0.791666667,Sky Blue FC,1–0,WNY Flash,3471,,Josh Wilkens,Match Report,https://fbref.com/en/matches/3fded0a5/Sky-Blue-FC-Western-New-York-Flash-July-31-2014-NWSL,3fded0a5
Regular Season,Sat,8/2/14,0.791666667,Spirit,2–1,Red Stars,3102,Maureen Hendricks Field at Maryland Socc...,Christopher Spivey,Match Report,https://fbref.com/en/matches/af4d51ac/Washington-Spirit-Chicago-Red-Stars-August-2-2014-NWSL,af4d51ac
Regular Season,Sun,8/3/14,0.791666667,Boston Breakers,3–4,WNY Flash,3754,,Mark Allatin,Match Report,https://fbref.com/en/matches/dcd5f391/Boston-Breakers-Western-New-York-Flash-August-3-2014-NWSL,dcd5f391
Regular Season,Sat,8/2/14,19:00 (20:00),Kansas City,1–1,Reign,3029,,Bernhard Hosu,Match Report,https://fbref.com/en/matches/9ce230c1/FC-Kansas-City-Seattle-Reign-FC-August-2-2014-NWSL,9ce230c1
Regular Season,Sun,8/3/14,19:00 (22:00),Thorns,1–0,Dash,19123,Providence Park,Katja Koroleva,Match Report,https://fbref.com/en/matches/b0355b88/Portland-Thorns-FC-Houston-Dash-August-3-2014-NWSL,b0355b88
Regular Season,Wed,8/6/14,19:00 (20:00),Kansas City,2–1,Boston Breakers,1212,,David Mon,Match Report,https://fbref.com/en/matches/e8af8ca3/FC-Kansas-City-Boston-Breakers-August-6-2014-NWSL,e8af8ca3
Regular Season,Wed,8/6/14,19:00 (22:00),Reign,4–1,Dash,3875,,Michael Zapata,Match Report,https://fbref.com/en/matches/9830bc25/Seattle-Reign-FC-Houston-Dash-August-6-2014-NWSL,9830bc25
Regular Season,Sat,8/9/14,19:00 (20:00),Dash,1–3,Sky Blue FC,5143,BBVA Compass Stadium,Mark Allatin,Match Report,https://fbref.com/en/matches/812788e2/Houston-Dash-Sky-Blue-FC-August-9-2014-NWSL,812788e2
Regular Season,Sat,8/9/14,19:00 (20:00),Red Stars,2–1,Kansas City,2111,,Katja Koroleva,Match Report,https://fbref.com/en/matches/21d682a9/Chicago-Red-Stars-FC-Kansas-City-August-9-2014-NWSL,21d682a9
Regular Season,Sat,8/9/14,19:00 (22:00),Reign,1–1,Spirit,3479,,Elvis Mahmutovic,Match Report,https://fbref.com/en/matches/a835491d/Seattle-Reign-FC-Washington-Spirit-August-9-2014-NWSL,a835491d
Regular Season,Sun,8/10/14,0.791666667,Boston Breakers,2–0,Thorns,4191,,Timon Berry,Match Report,https://fbref.com/en/matches/43d092f2/Boston-Breakers-Portland-Thorns-FC-August-10-2014-NWSL,43d092f2
Regular Season,Wed,8/13/14,0.791666667,WNY Flash,2–3,Sky Blue FC,4339,,Christopher Spivey,Match Report,https://fbref.com/en/matches/f59d77ca/Western-New-York-Flash-Sky-Blue-FC-August-13-2014-NWSL,f59d77ca
Regular Season,Wed,8/13/14,19:00 (20:00),Red Stars,2–0,Boston Breakers,1311,,Bernhard Hosu,Match Report,https://fbref.com/en/matches/dd2c669d/Chicago-Red-Stars-Boston-Breakers-August-13-2014-NWSL,dd2c669d
Regular Season,Sat,8/16/14,0.791666667,Spirit,0–1,Sky Blue FC,4282,Maureen Hendricks Field at Maryland Socc...,David Mon,Match Report,https://fbref.com/en/matches/e0dc82d9/Washington-Spirit-Sky-Blue-FC-August-16-2014-NWSL,e0dc82d9
Regular Season,Sat,8/16/14,19:00 (20:00),Red Stars,3–3,WNY Flash,2065,,Boris Senic,Match Report,https://fbref.com/en/matches/8b97808b/Chicago-Red-Stars-Western-New-York-Flash-August-16-2014-NWSL,8b97808b
Regular Season,Sun,8/17/14,0.791666667,Boston Breakers,1–0,Dash,3006,,Matt Franz,Match Report,https://fbref.com/en/matches/0c35f2f9/Boston-Breakers-Houston-Dash-August-17-2014-NWSL,0c35f2f9
Regular Season,Sun,8/17/14,19:00 (22:00),Thorns,1–0,Reign,17109,Providence Park,Elvis Mahmutovic,Match Report,https://fbref.com/en/matches/c8ac28b2/Portland-Thorns-FC-Seattle-Reign-FC-August-17-2014-NWSL,c8ac28b2
Regular Season,Wed,8/20/14,0.791666667,Sky Blue FC,1–0,Dash,1328,,Bernhard Hosu,Match Report,https://fbref.com/en/matches/ee9cc30e/Sky-Blue-FC-Houston-Dash-August-20-2014-NWSL,ee9cc30e
Semifinals,Sat,8/23/14,19:00 (20:00),Kansas City,2–0,Thorns,2997,,Christopher Spivey,Match Report,https://fbref.com/en/matches/217a40ab/FC-Kansas-City-Portland-Thorns-FC-August-23-2014-NWSL,217a40ab
Semifinals,Sun,8/24/14,19:00 (22:00),Reign,2–1,Spirit,4540,,Timon Berry,Match Report,https://fbref.com/en/matches/f881e2c1/Seattle-Reign-FC-Washington-Spirit-August-24-2014-NWSL,f881e2c1
Final,Sun,8/31/14,19:00 (22:00),Reign,1–2,Kansas City,4252,,Margaret Domka,Match Report,https://fbref.com/en/matches/60f738e9/Seattle-Reign-FC-FC-Kansas-City-August-31-2014-NWSL,60f738e9
